id_pass,date_pass,h_pass,duree_passage,id_capteur
passag000001,2024-10-20,10:30,2,captor000001
passag000002,2024-10-20,10:32,3,captor000002
passag000003,2024-10-20,10:35,1,captor000003
passag000004,2024-10-20,10:36,2,captor000004
passag000005,2024-10-20,10:38,3,captor000005
passag000006,2024-10-20,10:41,1,captor000006
passag000007,2024-10-20,10:42,2,captor000007
passag000008,2024-10-20,10:44,3,captor000008
passag000009,2024-10-20,10:47,1,captor000009
passag000010,2024-10-20,10:48,2,captor000010
passag000011,2024-10-20,10:50,3,captor000011
passag000012,2024-10-20,10:53,1,captor000012
passag000013,2024-10-20,10:54,2,captor000013
passag000014,2024-10-20,10:56,3,captor000014
passag000015,2024-10-20,10:59,1,captor000015
passag000016,2024-10-20,11:00,2,captor000016
passag000017,2024-10-20,11:02,3,captor000017
passag000018,2024-10-20,11:05,1,captor000018
passag000019,2024-10-20,11:06,2,captor000019
passag000020,2024-10-20,11:08,3,captor000020
passag000021,2024-10-20,11:11,1,captor000001
passag000022,2024-10-20,11:12,2,captor000002
passag000023,2024-10-20,11:14,3,captor000003
passag000024,2024-10-20,11:17,1,captor000004
passag000025,2024-10-20,11:18,2,captor000005
passag000026,2024-10-20,11:20,3,captor000006
passag000027,2024-10-20,11:23,1,captor000007
passag000028,2024-10-20,11:24,2,captor000008
passag000029,2024-10-20,11:26,3,captor000009
passag000030,2024-10-20,11:29,1,captor000010
